method,dataset,n,m,instance,profit,time_sec,feasible,num_items,avg_usage,min_usage,max_usage
GA,100-5,100,5,1,24329,27.541633129119873,True,29,0.9954758184795874,0.9925693887958039,0.999851411589896
GA,100-5,100,5,2,24274,26.614494800567627,True,29,0.9881150398757053,0.9782113574248406,0.99953274667082
GA,500-5,500,5,1,119076,110.88119912147522,True,143,0.9979391385776448,0.9921335842864727,0.9998717434869739
GA,500-5,500,5,2,116467,108.64150476455688,True,145,0.9983771035299929,0.9979114590185502,0.9990022660398418
GA,250-10,250,10,1,58434,58.31534767150879,True,67,0.9881322477356662,0.970644867074283,0.9983496213837292
GA,250-10,250,10,2,58390,57.830617904663086,True,67,0.9915070234537868,0.9782843012934314,0.9990385571726951
GA,100-30,100,30,1,21840,28.379902362823486,True,24,0.9475971422941177,0.8271192728621777,0.9995148771021992
GA,100-30,100,30,2,21576,27.4503014087677,True,24,0.9347315864472409,0.7758860857452407,0.9945321992709599
GA,500-30,500,30,1,114169,130.08760619163513,True,128,0.9863860615834243,0.9581923983264135,0.99830220713073
